drug1,drug2,similarity
DB00759,DB04557,0.197
DB00831,DB04557,0.422
DB00564,DB04557,0.292
DB00316,DB04557,0.938
DB00254,DB04557,0.185
DB00554,DB04557,0.456
DB00795,DB04557,0.237
DB01645,DB04557,0.426
DB04216,DB04557,0.478
DB00559,DB04557,0.158
DB00412,DB04557,0.945
DB00641,DB04557,0.241
DB01393,DB04557,0.207
DB00594,DB04557,0.476
DB00541,DB04557,0.214
DB00549,DB04557,0.328
DB00177,DB04557,0.169
DB00197,DB04557,0.31
DB00523,DB04557,0.542
DB00755,DB04557,0.542
DB01124,DB04557,0.16
DB00373,DB04557,0.217
DB00624,DB04557,0.44
DB00675,DB04557,0.209
DB00605,DB04557,0.537
DB01138,DB04557,0.295
DB00428,DB04557,0.608
DB00421,DB04557,0.244
DB00203,DB04557,0.15
DB00533,DB04557,0.767
DB00740,DB04557,0.323
DB00206,DB04557,0.212
DB00877,DB04557,0.314
DB00863,DB04557,0.245
DB00571,DB04557,0.432
DB03322,DB04557,0.432
DB01069,DB04557,0.24
DB00396,DB04557,0.588
DB01032,DB04557,0.192
DB00635,DB04557,0.238
DB00860,DB04557,0.218
DB00457,DB04557,0.26
DB00175,DB04557,0.151
DB01132,DB04557,0.926
DB00812,DB04557,0.415
DB01174,DB04557,0.378
DB01229,DB04557,0.282
DB01092,DB04557,0.439
DB01054,DB04557,0.261
DB01183,DB04557,0.263
DB00295,DB04557,0.316
DB00471,DB04557,0.456
DB00834,DB04557,0.325
DB00683,DB04557,0.15
DB01110,DB04557,0.393
DB01011,DB04557,0.234
DB00959,DB04557,0.318
DB00563,DB04557,0.25
DB00814,DB04557,0.461
DB00227,DB04557,0.17
DB00678,DB04557,0.382
DB00836,DB04557,0.236
DB00555,DB04557,0.162
DB01009,DB04557,0.445
DB01026,DB04557,0.37
DB01221,DB04557,0.34
DB00328,DB04557,0.933
DB00281,DB04557,0.273
DB01050,DB04557,0.778
DB00741,DB04557,0.422
DB00502,DB04557,0.212
DB01016,DB04557,0.344
DB01241,DB04557,0.248
DB00695,DB04557,0.401
DB00158,DB04557,0.38
DB00712,DB04557,0.675
DB00472,DB04557,0.258
DB00544,DB04557,0.23
DB00773,DB04557,0.24
DB00749,DB04557,0.259
DB00903,DB04557,0.151
DB00584,DB04557,0.221
DB00313,DB04557,0.369
DB01075,DB04557,0.262
DB00343,DB04557,0.313
DB00255,DB04557,0.595
DB00586,DB04557,0.661
DB00829,DB04557,0.234
DB00182,DB04557,0.322
DB00443,DB04557,0.22
DB01234,DB04557,0.22
DB00470,DB04557,0.765
DB00115,DB04557,0.152
DB01394,DB04557,0.383
DB00907,DB04557,0.342
DB00363,DB04557,0.187
DB00257,DB04557,0.373
DB00758,DB04557,0.522
DB00575,DB04557,0.205
DB00501,DB04557,0.294
DB00477,DB04557,0.23
DB01114,DB04557,0.153
DB00608,DB04557,0.312
DB00439,DB04557,0.463
DB00482,DB04557,0.79
DB00661,DB04557,0.422
DB00201,DB04557,0.288
DB00542,DB04557,0.256
DB00945,DB04557,0.969
DB01435,DB04557,0.16
DB00277,DB04557,0.366
DB00437,DB04557,0.305
DB00252,DB04557,0.291
DB00445,DB04557,0.301
DB00997,DB04557,0.301
DB00788,DB04557,0.575
DB00140,DB04557,0.268
DB00468,DB04557,0.311
DB00908,DB04557,0.311
DB00368,DB04557,0.715
DB00184,DB04557,0.384
DB00627,DB04557,0.391
DB01065,DB04557,0.395
DB00134,DB04557,0.477
DB00451,DB04557,0.192
DB00668,DB04557,0.793
DB01235,DB04557,0.293
DB00655,DB04557,0.22
DB00988,DB04557,0.559
DB00987,DB04557,0.19
DB00783,DB04557,0.558
DB00936,DB04557,0.553
DB00122,DB04557,0.703
DB01103,DB04557,0.832
DB00640,DB04557,0.766
DB03128,DB04557,0.831
DB00917,DB04557,0.997
DB00759,DB00788,0.17
DB01165,DB00788,0.178
DB00199,DB00788,0.322
DB00537,DB00788,0.173
DB00564,DB00788,0.577
DB00316,DB00788,0.669
DB00554,DB00788,0.93
DB00795,DB00788,0.41
DB00641,DB00788,0.322
DB01393,DB00788,0.41
DB01124,DB00788,0.279
DB00373,DB00788,0.171
DB00605,DB00788,0.904
DB01138,DB00788,0.535
DB00533,DB00788,0.913
DB00863,DB00788,0.353
DB00571,DB00788,0.451
DB03322,DB00788,0.451
DB01069,DB00788,0.156
DB00396,DB00788,0.278
DB01032,DB00788,0.565
DB00635,DB00788,0.385
DB00860,DB00788,0.442
DB00812,DB00788,0.652
DB01174,DB00788,0.171
DB00295,DB00788,0.47
DB00471,DB00788,0.213
DB00683,DB00788,0.234
DB00959,DB00788,0.392
DB00563,DB00788,0.438
DB00814,DB00788,0.752
DB00678,DB00788,0.151
DB00555,DB00788,0.218
DB01009,DB00788,0.884
DB01221,DB00788,0.153
DB00328,DB00788,0.947
DB00281,DB00788,0.299
DB01050,DB00788,0.979
DB00741,DB00788,0.259
DB01241,DB00788,0.529
DB00695,DB00788,0.274
DB00158,DB00788,0.172
DB00712,DB00788,0.954
DB00472,DB00788,0.328
DB00749,DB00788,0.795
DB00584,DB00788,0.23
DB00313,DB00788,0.341
DB01075,DB00788,0.175
DB00343,DB00788,0.154
DB00255,DB00788,0.337
DB00586,DB00788,0.91
DB00829,DB00788,0.333
DB01394,DB00788,0.558
DB00758,DB00788,0.299
DB00575,DB00788,0.151
DB00501,DB00788,0.297
DB00608,DB00788,0.176
DB00439,DB00788,0.293
DB00482,DB00788,0.919
DB00661,DB00788,0.218
DB00201,DB00788,0.449
DB00945,DB00788,0.921
DB01435,DB00788,0.257
DB00277,DB00788,0.235
DB00437,DB00788,0.55
DB00252,DB00788,0.424
DB00468,DB00788,0.173
DB00908,DB00788,0.173
DB00368,DB00788,0.227
DB00184,DB00788,0.234
DB00668,DB00788,0.172
DB00655,DB00788,0.265
DB00988,DB00788,0.221
DB00783,DB00788,0.356
DB00936,DB00788,0.628
DB00917,DB00788,0.541
DB01211,DB00788,0.218
DB00440,DB00788,0.274
DB00619,DB00788,0.16
DB00715,DB00788,0.217
DB01059,DB00788,0.151
DB00264,DB00788,0.386
DB00333,DB00788,0.171
DB01043,DB00788,0.15
DB00458,DB00788,0.209
DB00813,DB00788,0.32
DB00927,DB00788,0.274
DB00320,DB00788,0.556
DB00390,DB00788,0.23
DB00861,DB00788,0.734
DB00921,DB00788,0.152
DB00321,DB00788,0.418
DB01118,DB00788,0.204
DB04557,DB00788,0.575
DB00285,DB00788,0.31
DB01104,DB00788,0.343
DB03783,DB00788,0.273
DB00696,DB00788,0.409
DB01184,DB00788,0.152
DB00514,DB00788,0.312
DB01242,DB00788,0.156
DB00215,DB00788,0.217
DB01175,DB00788,0.217
DB00669,DB00788,0.574
DB00656,DB00788,0.154
DB00500,DB00788,0.855
DB01097,DB00788,0.236
DB01167,DB00788,0.151
DB00977,DB00788,0.209
DB01142,DB00788,0.155
DB00759,DB00316,0.322
DB01165,DB00316,0.209
DB00199,DB00316,0.299
DB00537,DB00316,0.31
DB01212,DB00316,0.31
DB01327,DB00316,0.208
DB00564,DB00316,0.58
DB00446,DB00316,0.309
DB00254,DB00316,0.264
DB00554,DB00316,0.508
DB00795,DB00316,0.297
DB04216,DB00316,0.295
DB00641,DB00316,0.238
DB00177,DB00316,0.168
DB00197,DB00316,0.232
DB00523,DB00316,0.172
DB00755,DB00316,0.172
