P07992,Q14123,0.255
P41181,Q14123,0.251
P20472,Q14123,0.252
P16520,Q14123,0.806
P40123,Q14123,0.217
Q16819,Q14123,0.364
Q15842,Q14123,0.21
P46439,Q14123,0.176
P98161,Q14123,0.214
P09471,Q14123,0.196
P98164,Q14123,0.157
P31323,Q14123,0.329
Q13956,Q14123,0.668
P30872,Q14123,0.195
P00797,Q14123,0.208
Q15825,Q14123,0.249
Q12955,Q14123,0.221
Q13370,Q14123,0.285
Q9HCR9,Q14123,0.397
P40145,Q14123,0.823
P55263,Q14123,0.91
Q05901,Q14123,0.218
O76083,Q14123,0.368
P18505,Q14123,0.238
Q8WVY7,Q14123,0.154
Q08828,Q14123,0.758
P29474,Q14123,0.173
P0DPB6,Q14123,0.192
P0DPB5,Q14123,0.192
O75347,Q14123,0.167
P47985,Q14123,0.207
P43304,Q14123,0.199
Q9NP56,Q14123,0.326
O60658,Q14123,0.309
Q8N8I0,Q14123,0.191
P27482,Q14123,0.688
Q9NQW8,Q14123,0.155
Q9NZ56,Q14123,0.176
P32241,Q14123,0.439
P38405,Q14123,0.308
O00408,Q14123,0.406
Q7Z572,Q14123,0.252
Q9Y620,Q14123,0.165
P15382,Q14123,0.178
O14924,Q14123,0.301
Q9Y6K8,Q14123,0.683
Q14432,Q14123,0.317
Q93084,Q14123,0.253
P49802,Q14123,0.154
Q92736,Q14123,0.319
P30542,Q14123,0.201
P01282,Q14123,0.229
P29536,Q14123,0.158
Q5VWI1,Q14123,0.161
P46013,Q14123,0.414
Q99489,Q14123,0.192
P22694,Q14123,0.176
P02585,Q14123,0.254
P00568,Q14123,0.657
Q14573,Q14123,0.441
O95409,Q14123,0.176
P16860,Q14123,0.229
P07741,Q14123,0.9
P05305,Q14123,0.194
P23468,Q14123,0.155
Q14571,Q14123,0.209
P29033,Q14123,0.255
P49441,Q14123,0.19
Q92481,Q14123,0.267
P58400,Q14123,0.153
Q13946,Q14123,0.329
P16220,Q14123,0.18
P78509,Q14123,0.181
P14867,Q14123,0.164
P49798,Q14123,0.194
P54750,Q14123,0.876
P18507,Q14123,0.2
P23560,Q14123,0.174
O95622,Q14123,0.808
P23109,Q14123,0.657
O95677,Q14123,0.246
P16389,Q14123,0.191
Q9Y233,Q14123,0.444
P01213,Q14123,0.16
Q9NY56,Q14123,0.181
Q13304,Q14123,0.166
P18509,Q14123,0.163
O14558,Q14123,0.212
O60234,Q14123,0.169
P07992,P60709,0.456
P41181,P60709,0.53
P20472,P60709,0.494
P40123,P60709,0.835
Q15842,P60709,0.193
P46439,P60709,0.213
P98161,P60709,0.207
P09471,P60709,0.322
P98164,P60709,0.299
P31323,P60709,0.239
P30872,P60709,0.187
P00797,P60709,0.562
Q12955,P60709,0.256
Q13370,P60709,0.194
P40145,P60709,0.306
P55263,P60709,0.248
Q08828,P60709,0.267
P29474,P60709,0.974
P0DPB6,P60709,0.671
P0DPB5,P60709,0.671
P47985,P60709,0.265
P43304,P60709,0.278
P27482,P60709,0.223
Q9NZ56,P60709,0.347
P32241,P60709,0.161
P38405,P60709,0.195
Q7Z572,P60709,0.196
Q9Y620,P60709,0.237
Q93084,P60709,0.271
P49802,P60709,0.183
Q92736,P60709,0.346
P30542,P60709,0.323
P01282,P60709,0.26
P29536,P60709,0.239
P46013,P60709,0.544
P22694,P60709,0.239
P02585,P60709,0.333
P00568,P60709,0.222
Q14573,P60709,0.434
O95409,P60709,0.183
P16860,P60709,0.363
P07741,P60709,0.313
P05305,P60709,0.55
Q14571,P60709,0.289
P29033,P60709,0.307
P58400,P60709,0.213
Q13946,P60709,0.202
P16220,P60709,0.717
P78509,P60709,0.331
P14867,P60709,0.187
P49798,P60709,0.259
